transaction_id,customer_id,transaction_ts,transaction_type,status,amount,currency,provider_reference,ingested_at
APPB00137,CUST044,2026-04-19T10:15:00Z,subscription_renewal,failed,32.00,GBP,provider-appb00137,2026-04-19T10:20:00Z
APPB00122,CUST029,2026-04-04T10:15:00Z,subscription_renewal,succeeded,47.00,GBP,provider-appb00122,2026-04-04T10:20:00Z
APPB00232,CUST057,2026-06-12T10:15:00Z,token_purchase,succeeded,21.00,USD,provider-appb00232,2026-06-12T10:20:00Z
APPB00055,CUST024,2026-02-17T10:15:00Z,subscription_renewal,succeeded,62.00,GBP,provider-appb00055,2026-02-17T10:20:00Z
APPB00196,CUST060,2026-05-16T10:15:00Z,token_purchase,succeeded,33.00,USD,provider-appb00196,2026-05-16T10:20:00Z
APPB00138,CUST045,2026-04-20T10:15:00Z,subscription_renewal,succeeded,47.00,USD,provider-appb00138,2026-04-20T10:20:00Z
APPB00104,CUST042,2026-03-06T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00104,2026-03-06T10:20:00Z
APPB00200,CUST055,2026-05-22T10:15:00Z,refund,succeeded,15.00,USD,provider-appb00200,2026-05-22T10:20:00Z
APPB00131,CUST038,2026-04-13T10:15:00Z,subscription_renewal,succeeded,62.00,EUR,provider-appb00131,2026-04-13T10:20:00Z
APPB00059,CUST028,2026-02-21T10:15:00Z,subscription_renewal,failed,62.00,EUR,provider-appb00059,2026-02-21T10:20:00Z
APPB00048,CUST017,2026-02-10T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00048,2026-02-10T10:20:00Z
APPB00217,CUST062,2026-06-19T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00217,2026-06-19T10:20:00Z
APPB00129,CUST036,2026-04-11T10:15:00Z,subscription_renewal,succeeded,32.00,USD,provider-appb00129,2026-04-11T10:20:00Z
APPB00209,CUST054,2026-06-11T10:15:00Z,subscription_renewal,succeeded,32.00,GBP,provider-appb00209,2026-06-11T10:20:00Z
APPB00124,CUST031,2026-04-06T10:15:00Z,subscription_renewal,succeeded,77.00,USD,provider-appb00124,2026-04-06T10:20:00Z
APPB00085,CUST023,2026-03-07T10:15:00Z,subscription_renewal,succeeded,32.00,EUR,provider-appb00085,2026-03-07T10:20:00Z
APPB00238,CUST050,2026-06-20T10:15:00Z,refund,succeeded,7.00,USD,provider-appb00238,2026-06-20T10:20:00Z
APPB00029,CUST003,2026-01-09T10:15:00Z,token_purchase,succeeded,12.00,EUR,provider-appb00029,2026-01-09T10:20:00Z
