record_id,period_start,team_id,designer_id,capacity_points,slides_completed,logic_version,updated_at
CAPB0003,2022-03-01,TEAM-A,,97,,team_points_v1,2022-03-28T10:00:00Z
CAPB0002,2021-10-01,TEAM-B,,92,,team_points_v1,2021-10-28T10:00:00Z
CAPB0023,2026-06-01,TEAM-A,DES-101,,52,designer_slides_v3,2026-07-28T10:00:00Z
CAPB0027,2026-08-01,TEAM-A,DES-102,,54,designer_slides_v3,2026-08-28T10:00:00Z
CAPB0013,2026-03-01,TEAM-B,DES-103,26,,designer_points_v2,2026-03-28T10:00:00Z
CAPB0004,2022-08-01,TEAM-B,,102,,team_points_v1,2022-08-28T10:00:00Z
CAPB0007,2026-01-01,TEAM-B,DES-103,24,,designer_points_v2,2026-01-28T10:00:00Z
CAPB0028,2026-08-01,TEAM-B,DES-103,,55,designer_slides_v3,2026-08-28T10:00:00Z
CAPB0010,2026-02-01,TEAM-B,DES-103,25,,designer_points_v2,2026-02-28T10:00:00Z
CAPB0010,2026-02-01,TEAM-B,DES-103,29,,designer_points_v2,2026-02-28T16:00:00Z
CAPB0024,2026-07-01,TEAM-A,DES-102,,53,designer_slides_v3,2026-07-28T10:00:00Z
CAPB0018,2026-05-01,TEAM-A,DES-102,27,,designer_points_v2,2026-05-28T10:00:00Z
CAPB0020,2026-06-01,TEAM-A,DES-101,27,,designer_points_v2,2026-06-28T10:00:00Z
CAPB0009,2026-02-01,TEAM-A,DES-102,24,,designer_points_v2,2026-02-28T10:00:00Z
CAPB0001,2021-07-01,TEAM-A,,87,,team_points_v1,2021-07-28T10:00:00Z
CAPB0016,2026-04-01,TEAM-B,DES-103,27,,designer_points_v2,2026-04-28T10:00:00Z
CAPB0015,2026-04-01,TEAM-A,DES-102,26,,designer_points_v2,2026-04-28T10:00:00Z
CAPB0017,2026-05-01,TEAM-A,DES-101,26,,designer_points_v2,2026-05-28T10:00:00Z
CAPB0014,2026-04-01,TEAM-A,DES-101,25,,designer_points_v2,2026-04-28T10:00:00Z
CAPB0003,2022-03-01,TEAM-A,,97,,team_points_v1,2022-03-28T10:00:00Z
CAPB0011,2026-03-01,TEAM-A,DES-101,24,,designer_points_v2,2026-03-28T10:00:00Z
CAPB0008,2026-02-01,TEAM-A,DES-101,23,,designer_points_v2,2026-02-28T10:00:00Z
CAPB0022,2026-06-01,TEAM-B,DES-103,29,,designer_points_v2,2026-06-28T10:00:00Z
CAPB0005,2026-01-01,TEAM-A,DES-101,22,,designer_points_v2,2026-01-28T10:00:00Z
CAPB0019,2026-05-01,TEAM-B,DES-103,28,,designer_points_v2,2026-05-28T10:00:00Z
CAPB0006,2026-01-01,TEAM-A,DES-102,23,,designer_points_v2,2026-01-28T10:00:00Z
CAPB0026,2026-08-01,TEAM-A,DES-101,,53,designer_slides_v3,2026-08-28T10:00:00Z
CAPB0012,2026-03-01,TEAM-A,DES-102,25,,designer_points_v2,2026-03-28T10:00:00Z
CAPB0025,2026-07-01,TEAM-B,DES-103,,54,designer_slides_v3,2026-07-28T10:00:00Z
CAPB0021,2026-06-01,TEAM-A,DES-102,28,,designer_points_v2,2026-06-28T10:00:00Z
